FireYear,FireName,EstTotalAcres,HumanOrLightning,CauseBy,GeneralCause,SpecificCause,County,IgnDate,DSCI,DroughtLevel,UncertaintyScore,Lat_DD,Long_DD
2000,JACKSON HILL,0.01,Human,Ruralist-Paying,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Klamath,2000-02-01,0.0,No Drought,0,42.56081,-121.87944
2000,Warner Lake,0.01,Lightning,Lightning,Lightning,Lightning,Linn,2000-03-12,0.0,No Drought,0,44.2538,-122.9527
2000,Upper Letz Creek Fire,0.05,Human,Other Forest Mgt. Worker,Debris Burning,Other - Burning Related,Lane,2000-03-28,0.0,No Drought,1,43.80673,-123.30032
2000,McKenzie View,0.25,Human,Public Utility,Equipment Use,Powerlines - prior to 2017,Lane,2000-03-30,0.0,No Drought,0,44.08969,-123.01946
2000,Krewson-Scrabble,3,Human,Timber Harvest Worker,Miscellaneous,Warming Fire - Industrial,Douglas,2000-03-31,0.0,No Drought,2,43.68379,-123.33029
2000,Knight Road #1,0.06,Human,Rancher-Farmer,Debris Burning,Other - Burning Related,Lane,2000-03-31,0.0,No Drought,1,44.10907,-123.43939
2000,E.J. Smith #1,0.1,Human,Other-Landowner Related,Debris Burning,Inadequate Resources to Control,Columbia,2000-03-31,0.0,No Drought,0,45.77374,-122.90095
2000,SPRING TRAIL,0.1,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Klamath,2000-04-01,0.0,No Drought,0,42.57909,-121.85016
2000,HERR ROAD FIRE,17,Human,Rancher-Farmer,Debris Burning,Industrial- Slash-Failure to Follow Burn Permit Instructions,Washington,2000-04-02,0.0,No Drought,0,45.48613,-123.18395
2000,JACKSON,21.5,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Klamath,2000-04-02,0.0,No Drought,0,42.47313,-121.39592
2000,CRAMER,0.25,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-04-02,0.0,No Drought,0,42.08814,-121.90179
2000,MP 17,2,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Klamath,2000-04-02,0.0,No Drought,0,42.52856,-121.58668
2000,Sterling Creek,1,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Jackson,2000-04-03,0.0,No Drought,0,42.17944,-122.97636
2000,Eagle Canyon,0.1,Human,Public Utility,Equipment Use,"Other -Equipment Use Related (ie. road const., other i.c.e.)",Jackson,2000-04-03,0.0,No Drought,1,42.17914,-123.00625
2000,WILLIAMS CANYON,3,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Yamhill,2000-04-03,0.0,No Drought,0,45.41702,-123.19464
2000,RAINBOW,1.25,Human,Ruralist-Paying,Debris Burning,Burn Barrel,Klamath,2000-04-03,0.0,No Drought,0,42.608,-121.87477
2000,Coos River,5,Human,Timber Harvest Worker,Debris Burning,Industrial- Slash-Failure to Recog. Sev. of Burning Cond.,Coos,2000-04-07,0.0,No Drought,0,43.37189,-124.11219
2000,Paradise Fire,0.24,Human,Ruralist-Non-Paying,Debris Burning,Inadequate Resources to Control,Lane,2000-04-08,0.0,No Drought,0,44.12341,-123.35926
2000,SF Mill Creek,0.01,Human,Recreationist,Miscellaneous,Other - Miscellaneous Related,Marion,2000-04-08,0.0,No Drought,2,44.82962,-122.61823
2000,Valley Hidaway Ln. #1,0.15,Human,Ruralist-Paying,Debris Burning,Inadequate Resources to Control,Columbia,2000-04-10,0.0,No Drought,0,45.76263,-122.91624
2000,Bone Mtn,0.01,Human,Other Forest Mgt. Worker,Smoking,Discarded Cigarette/Tobacco,Coos,2000-04-10,0.0,No Drought,0,42.8978,-123.84125
2000,LARCHWOOD #1,0.03,Human,Other-Public,Miscellaneous,Other - Miscellaneous Related,Klamath,2000-04-10,0.0,No Drought,2,43.53143,-121.47437
2000,Swedetown Road #1,1,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Columbia,2000-04-11,0.0,No Drought,0,46.09061,-123.16724
2000,Idanha,1.5,Human,Ruralist-Non-Paying,Debris Burning,Burning During Poor Condition,Marion,2000-04-12,0.0,No Drought,0,44.69701,-122.05332
2000,OLIVER HILL RD,0.1,Human,Ruralist-Paying,Debris Burning,Inadequate Resources to Control,Washington,2000-04-12,0.0,No Drought,0,45.67403,-123.05531
2000,Airport Road #1,3,Human,Ruralist-Paying,Debris Burning,Industrial- Slash-Failure to Recog. Sev. of Burning Cond.,Klamath,2000-04-12,0.0,No Drought,0,43.45963,-121.70591
2000,Little Creek Gate,0.01,Human,Recreationist,Recreation,Warming Fire Not Extinguished,Union,2000-04-12,0.0,No Drought,0,45.2107,-117.73914
2000,Stump #103,0.01,Human,Recreationist,Recreation,Other - Recreationist Related,Klamath,2000-04-13,0.0,No Drought,1,42.26583,-121.30902
2000,WOODLAND,0.01,Human,Ruralist-Paying,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Klamath,2000-04-15,0.0,No Drought,0,42.62624,-121.86511
2000,Shade Tree,0.5,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Clackamas,2000-04-15,0.0,No Drought,0,45.29698,-122.2994
2000,Huskey Rd,0.01,Human,Recreationist,Recreation,Campfire Not Extinguished,Wasco,2000-04-21,0.0,No Drought,0,45.63716,-121.43829
2000,STARR CREEK,0.25,Human,Timber Harvest Worker,Debris Burning,Industrial- Slash-Failure to Adequately Mop Up,Benton,2000-04-28,0.0,No Drought,0,44.43515,-123.39663
2000,Umpqua South Jetty #1,0.01,Human,Recreationist,Recreation,Campfire Not Extinguished,Douglas,2000-04-28,0.0,No Drought,0,43.65641,-124.19892
2000,6th Street,0.3,Human,Ruralist-Paying,Miscellaneous,Hot Ashes (Dumping of),Deschutes,2000-04-29,0.0,No Drought,2,43.66536,-121.55282
2000,Adam Spring #106,4.5,Human,Other Forest Mgt. Worker,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Lake,2000-04-30,0.0,No Drought,0,42.01833,-120.83447
2000,Fall River,0.75,Human,Other-Landowner Related,Equipment Use,Heat from Vehicle Manifold or Exhaust,Deschutes,2000-04-30,0.0,No Drought,0,43.79618,-121.57971
2000,WOLF,0.01,Human,Rancher-Farmer,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Klamath,2000-05-01,0.0,No Drought,0,42.52489,-121.57196
2000,GARRISON BUTTE,0.4,Human,Other-Public,Miscellaneous,Warming Fire,Jefferson,2000-05-03,0.0,No Drought,2,44.41658,-121.52119
2000,STEINER LINER,0.1,Human,Other-Landowner Related,Debris Burning,Industrial- Slash-Failure to Adequately Mop Up,Klamath,2000-05-09,0.0,No Drought,0,42.32792,-121.45011
2000,Happy Ridge,0.01,Human,Hunter,Recreation,Campfire Not Extinguished,Wasco,2000-05-10,0.0,No Drought,0,45.27526,-121.27928
2000,Tater Hill,18.35,Human,Recreationist,Recreation,Other - Recreationist Related,Douglas,2000-05-10,0.0,No Drought,1,43.06814,-123.0134
2000,LAYOVER,0.01,Human,Recreationist,Recreation,Other - Recreationist Related,Klamath,2000-05-14,0.0,No Drought,1,42.13536,-122.03433
2000,Elk Creek Fire,0.01,Lightning,Lightning,Lightning,Lightning,Douglas,2000-05-14,0.0,No Drought,0,43.78262,-123.45211
2000,BULL CREEK,0.5,Lightning,Lightning,Lightning,Lightning,Deschutes,2000-05-15,0.0,No Drought,0,44.11098,-121.44163
2000,Silver Mtn # 1,3,Human,Other-Public,Debris Burning,Inadequate Mop Up,Marion,2000-05-15,0.0,No Drought,0,44.88053,-122.70563
2000,Cottonwood,0.01,Lightning,Lightning,Lightning,Lightning,Wallowa,2000-05-15,0.0,No Drought,0,45.29837,-117.1796
2000,REMUDA,0.2,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Deschutes,2000-05-17,0.0,No Drought,0,44.27124,-121.58687
2000,Thunder Mountain,0.01,Human,Other-Public,Miscellaneous,Other - Miscellaneous Related,Douglas,2000-05-19,0.0,No Drought,2,43.24817,-123.01199
2000,LOST BRIDGE,0.01,Human,Recreationist,Recreation,Campfire Not Extinguished,Klamath,2000-05-20,0.0,No Drought,0,42.15327,-122.02952
2000,Wagon Trail #1,1.9,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-05-20,0.0,No Drought,0,43.60907,-121.59349
2000,MINAH BIRD,0.01,Human,Other-Public,Arson,Other - Arson Related,Klamath,2000-05-20,0.0,No Drought,1,42.31685,-121.42587
2000,KURTZ ROAD #1,3,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-05-20,0.0,No Drought,0,43.58609,-121.52829
2000,ODELL CREEK STORE #1,0.25,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,Klamath,2000-05-20,0.0,No Drought,1,43.52793,-121.94559
2000,KFD,0.1,Human,Recreationist,Arson,Other - Arson Related,Klamath,2000-05-21,0.0,No Drought,1,42.53209,-121.52761
2000,Canal Fire,7,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Jackson,2000-05-21,0.0,No Drought,0,42.12184,-122.45217
2000,CHELSEA,26,Human,Public Utility,Equipment Use,Powerlines - prior to 2017,Klamath,2000-05-21,0.0,No Drought,0,42.04122,-122.09251
2000,Sharewater Fire,0.1,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Lane,2000-05-22,0.0,No Drought,0,44.15943,-123.34319
2000,Catching Creek,0.09,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Coos,2000-05-22,0.0,No Drought,0,43.03744,-124.17324
2000,JOHNSON ROAD,0.1,Human,Recreationist,Recreation,Fireworks,Washington,2000-05-22,0.0,No Drought,0,45.76719,-123.23409
2000,STAGECOACH ACRES #1,2,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-05-23,0.0,No Drought,0,43.58916,-121.60082
2000,Whiskey Run,0.1,Human,Other-Public,Debris Burning,Unattended,Coos,2000-05-23,0.0,No Drought,0,43.21184,-124.38259
2000,CRESCENT CREEK COTTAGES,0,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,Klamath,2000-05-24,0.0,No Drought,1,43.50243,-121.93514
2000,GALICE ROAD,0.25,Human,Other-Landowner Related,Debris Burning,Inadequate Mop Up,Josephine,2000-05-26,0.0,No Drought,0,42.52578,-123.46241
2000,SPOOL #1,0,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-05-26,0.0,No Drought,0,43.57131,-121.60131
2000,Crescent Meadows Sub,0,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,Klamath,2000-05-26,0.0,No Drought,1,43.51706,-121.94532
2000,WEEKLY DRIVE,0.01,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Josephine,2000-05-29,0.0,No Drought,0,42.413,-123.47764
2000,PINE LOOP,0.01,Human,Ruralist-Paying,Juveniles,Smoking (Juveniles 12 years and under),Deschutes,2000-05-29,0.0,No Drought,0,43.68348,-121.55314
2000,BOARD SHANTY,0.1,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Josephine,2000-05-31,0.0,No Drought,0,42.37338,-123.30062
2000,Taylor Creek,0.25,Human,Ruralist-Paying,Debris Burning,Inadequate Resources to Control,Curry,2000-05-31,0.0,No Drought,0,42.10843,-124.30245
2000,SLIMSHADY,1,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-06-01,0.0,No Drought,0,42.42615,-121.39171
2000,RAPTOR FIRE,3.5,Human,Timber Harvest Worker,Equipment Use,Industrial- Exhaust or Spark - Mobile Loader,Washington,2000-06-02,0.0,No Drought,0,45.52277,-123.30162
2000,SOURDOUGH,0.1,Human,Motorist,Smoking,Discarded Cigarette/Tobacco,Deschutes,2000-06-02,0.0,No Drought,0,44.31109,-121.58684
2000,PLACER ROAD,0.25,Human,Other-Landowner Related,Debris Burning,Inadequate clearing,Josephine,2000-06-02,0.0,No Drought,0,42.63197,-123.35456
2000,Lost Creek Lake,0.5,Human,Recreationist,Recreation,Warming Fire Unattended,Jackson,2000-06-02,0.0,No Drought,0,42.66701,-122.67569
2000,Tire #109,0.01,Human,Ruralist-Paying,Debris Burning,Unattended,Klamath,2000-06-02,0.0,No Drought,0,42.48721,-121.21495
2000,EL CAMINO WAY,0.01,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Josephine,2000-06-02,0.0,No Drought,0,42.43887,-123.42822
2000,SPENCER,4,Human,Recreationist,Recreation,Warming Fire Not Extinguished,Klamath,2000-06-03,0.0,No Drought,0,42.14972,-122.02457
2000,Pine Creek,0.25,Human,Timber Harvest Worker,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Wasco,2000-06-03,0.0,No Drought,0,45.35801,-121.23813
2000,LONNIE,0.1,Human,Recreationist,Recreation,Campfire Not Extinguished,Klamath,2000-06-03,0.0,No Drought,0,42.10267,-121.94603
2000,Mother's Creek,53,Human,Ruralist-Paying,Debris Burning,Industrial- Slash-Failure to Adequately Patrol,Grant,2000-06-04,0.0,No Drought,0,44.25291,-119.11579
2000,Iron Spring,2,Human,Timber Harvest Worker,Equipment Use,Burning Vehicle or Equipment,Grant,2000-06-04,0.0,No Drought,0,44.94031,-119.12653
2000,GERRISH VALLEY,0.5,Human,Other Forest Mgt. Worker,Debris Burning,Unattended,Yamhill,2000-06-05,0.0,No Drought,0,45.3737,-123.2151
2000,RIVERBANKS ROAD,0.1,Human,Other-Public,Miscellaneous,Warming Fire,Josephine,2000-06-05,0.0,No Drought,2,42.41289,-123.4628
2000,Broken Oak Fire,0.1,Human,Other-Public,Debris Burning,Industrial- Slash-Other Slash Disposal Fires During Burn,Lane,2000-06-05,0.0,No Drought,1,43.89679,-123.09
2000,Decker Road,0.1,Human,Other-Public,Debris Burning,Unattended,Benton,2000-06-06,0.0,No Drought,0,44.46754,-123.40126
2000,GETTINGS CREEK,0.25,Human,Ruralist-Paying,Debris Burning,Industrial- Slash-Failure to Construct Adequate Fire Break,Lane,2000-06-06,0.0,No Drought,0,43.84283,-122.99524
2000,CAR FIRE,0.01,Human,Motorist,Miscellaneous,Other - Miscellaneous Related,Klamath,2000-06-07,0.0,No Drought,2,42.39684,-121.36251
2000,Scribner,0.01,Lightning,Lightning,Lightning,Lightning,Grant,2000-06-10,0.0,No Drought,0,44.6653,-119.52269
2000,8 $ ROAD,0.1,Human,Other-Landowner Related,Debris Burning,Inadequate clearing,Josephine,2000-06-13,0.0,No Drought,0,42.22989,-123.64881
2000,SPENCER II,4,Human,Recreationist,Recreation,Campfire Not Extinguished,Klamath,2000-06-13,0.0,No Drought,0,42.15683,-122.02407
2000,ALLEN CREEK,0.01,Human,Other-Landowner Related,Equipment Use,"Industrial- Welding, Cutting, or Grinding",Josephine,2000-06-13,0.0,No Drought,0,42.41309,-123.35987
2000,Sportsmans Paradise,1,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Wasco,2000-06-13,0.0,No Drought,0,45.40532,-121.28449
2000,WOODDUCK,0.01,Human,Ruralist-Paying,Equipment Use,Burning Vehicle or Equipment,Deschutes,2000-06-13,0.0,No Drought,0,43.82842,-121.47417
2000,ANDERSON CREEK,0.25,Human,Other-Landowner Related,Debris Burning,Unattended,Josephine,2000-06-14,0.0,No Drought,0,42.30998,-123.60962
2000,Rueben Road,0.2,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Douglas,2000-06-14,0.0,No Drought,0,42.75256,-123.45008
2000,WALTERS DRIVE,0.01,Human,Other Forest Mgt. Worker,Equipment Use,Burning Vehicle or Equipment,Josephine,2000-06-15,0.0,No Drought,0,42.17815,-123.63971
2000,CONESTOGA,0.01,Human,Hiker,Smoking,Discarded Cigarette/Tobacco,Deschutes,2000-06-15,0.0,No Drought,0,44.31109,-121.58684
2000,Flek Road Fire,0.1,Human,Public Utility,Equipment Use,Powerlines - prior to 2017,Lane,2000-06-16,0.0,No Drought,0,44.02416,-123.23254
2000,Beymer Fire,0.1,Human,Public Utility,Equipment Use,Powerlines - prior to 2017,Lane,2000-06-16,0.0,No Drought,0,43.96955,-123.06977
2000,Goodrich Campfire,0.01,Human,Recreationist,Recreation,Campfire Not Extinguished,Baker,2000-06-16,0.0,No Drought,0,44.82664,-118.00554
2000,QUEENS BRANCH,0.01,Human,Motorist,Smoking,Emptied Ash Tray,Jackson,2000-06-16,0.0,No Drought,0,42.53312,-123.16357
2000,Long Gulch 1,0.5,Human,Ruralist-Paying,Debris Burning,Failure to Follow Permit Instruction,Jackson,2000-06-17,0.0,No Drought,0,42.23493,-123.09911
2000,Meadows Fire,0.01,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Jackson,2000-06-17,0.0,No Drought,0,42.63814,-122.80454
2000,Sealy Creek,1.5,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Crook,2000-06-17,0.0,No Drought,0,44.44198,-120.7789
2000,FOOTS CREEK,0.25,Human,Ruralist-Paying,Equipment Use,Sparks from Farm Machinery,Jackson,2000-06-17,0.0,No Drought,0,42.39515,-123.13858
2000,Bull Run,0.1,Human,Other-Public,Miscellaneous,Warming Fire,Baker,2000-06-18,0.0,No Drought,2,44.37768,-118.21979
2000,East Side View Point,1,Human,Motorist,Smoking,Discarded Cigarette/Tobacco,Umatilla,2000-06-18,0.0,No Drought,0,45.57847,-118.63996
2000,ELSINORE,0.25,Human,Other-Public,Arson,Other - Arson Related,Deschutes,2000-06-19,0.0,No Drought,1,43.85739,-121.47841
2000,CEDAR FLAT,0.1,Human,Ruralist-Paying,Miscellaneous,Burning Building,Josephine,2000-06-19,0.0,No Drought,2,42.20898,-123.28638
2000,Canary Road #1,0.01,Human,Motorist,Equipment Use,"Other -Equipment Use Related (ie. road const., other i.c.e.)",Lane,2000-06-19,0.0,No Drought,1,43.89458,-124.04798
2000,PANTHER GULCH,0.01,Human,Ruralist-Paying,Equipment Use,Carbon Sparks from Vehicle,Josephine,2000-06-19,0.0,No Drought,0,42.19813,-123.26217
2000,Powatka Ridge,0.5,Human,Rancher-Farmer,Debris Burning,Industrial- Slash-Holdover Prev. Burn(>90 days after ign.),Wallowa,2000-06-20,0.0,No Drought,0,45.80378,-117.45485
2000,Quines Creek,0.01,Human,Other-Landowner Related,Miscellaneous,Hot Ashes (Dumping of),Douglas,2000-06-20,0.0,No Drought,2,42.77706,-123.28102
2000,Dune Rd Fire,0.2,Human,Other-Landowner Related,Recreation,Explosive Device,Clatsop,2000-06-20,0.0,No Drought,0,46.1141,-123.93673
2000,Canary Road #2,0.01,Human,Other-Landowner Related,Equipment Use,"Other -Equipment Use Related (ie. road const., other i.c.e.)",Lane,2000-06-21,0.0,No Drought,1,43.92744,-124.02823
2000,Canary Road #3,0.01,Human,Other-Landowner Related,Equipment Use,"Other -Equipment Use Related (ie. road const., other i.c.e.)",Lane,2000-06-21,0.0,No Drought,1,43.90158,-124.04268
2000,ARMITAGE Y,0.05,Human,Other-Public,Arson,Fire to Cover-up/Distract from Criminal Act,Lane,2000-06-21,0.0,No Drought,0,44.15547,-122.9538
2000,Emigrant Lake,0.05,Human,Recreationist,Juveniles,Using Fireworks (Juv. ages 13 to 17),Jackson,2000-06-24,0.0,No Drought,0,42.15078,-122.61826
2000,PP# 252,0.01,Human,Public Utility,Equipment Use,Powerlines - prior to 2017,Jackson,2000-06-24,0.0,No Drought,0,42.44642,-123.17327
2000,ROGUE RIVER HWY,0.01,Human,Other-Public,Recreation,Fireworks,Jackson,2000-06-25,0.0,No Drought,0,42.40675,-123.23162
2000,CLOVERLAWN DRIVE,0.01,Human,Motorist,Equipment Use,Carbon Sparks from Vehicle,Josephine,2000-06-25,0.0,No Drought,0,42.40251,-123.32494
